Corporate ID,Scientist,Person,ABCK_Ki,ABCK_Cell,ABCK_WB,PBadjCell,H-PB_%F,H-CL,CACO,AURKA,FGFRx,FLTx,CDK15,CKD13,PRK,PDGFR BETA,TRKA,HEK293_%I(20 uM),HERG_%I(30 uM),ABCK_1mM,Lot ID,Parent MW,CACO(50 uM),C-CL,C-CL_F%,R-CL,R-CL_F%,1A2_%I(15 uM),1A2_%I(20 uM),1A2_%I(25 uM),1A2_IC50 (uM),2B6_%I(15 uM),2B6_%I(20 uM),2B6_%I(25 uM),2B6_IC50 (uM),2C19_%I(15 uM),2C19_%I(20 uM),2C19_%I(25 uM),2C19_IC50 (uM),2C8_%I(15 uM),2C8_%I(20 uM),2C8_%I(25 uM),2C8_IC50 (uM),2C9_%I(15 uM),2C9_%I(20 uM),2C9_%I(25 uM),2C9_IC50 (uM),2D6_%I(15 uM),2D6_%I(20 uM),2D6_%I(25 uM),2D6_IC50 (uM),3A4_MDZ_%I(15 uM),3A4_MDZ_%I(20 uM),3A4_MDZ_%I(25 uM),3A4_MDZ_IC50 (uM),3A4_TST_%I(15 uM),3A4_TST_%I(20 uM),3A4_TST_%I(25 uM),3A4_TST_IC50 (uM),TDI_2C19_%AR(10 uM),TDI_2C19_%AR(2.5 uM),TDI_2C19_%AR(25 uM),TDI_2C19(10 uM),TDI_2C19(2.5 uM),TDI_2C19(25 uM),TDI_2C9_%AR(10 uM),TDI_2C9_%AR(2.5 uM),TDI_2C9_%AR(25 uM),TDI_2C9(10 uM),TDI_2C9(2.5 uM),TDI_2C9(25 uM),TDI_2D6_%AR(10 uM),TDI_2D6_%AR(2.5 uM),TDI_2D6_%AR(25 uM),TDI_2D6(10 uM),TDI_2D6(2.5 uM),TDI_2D6(25 uM),TDI_3A4_%AR(10 uM),TDI_3A4_%AR(2.5 uM),TDI_3A4_%AR(25 uM),TDI_3A4(10 uM),TDI_3A4(2.5 uM),TDI_3A4(25 uM),HERG_%I(6 uM),HERG_%I(15 uM),PATCH%I(5 uM),PATCH%I(10 uM),KARPAS,FGFR3_BAF3_LUMI,HEK293_%I(4 uM),HEK293_%I(10 uM),HEK293,ABCK_WB_PLASMA_PSLP76,ABCK_WB_JURKAT_PSLP76,ABCK_WB_PERK,ABCK_WB_PERK_Emax,TF1-BCRABL,FASSIF (ug/mL),PH7.4 (ug/mL),SGF (ug/mL),SGK2,IDO_HELA,PI3KA_SPA_2UM_ATP,PI3KA_PAKT_SKOV3_ICW,PI3KD_HUM_ENZ_SPA_2UM_ATP,PI3KD-RAMOS,SUDHL6-PROLIF-LUM,PI3KG_SPA_2UM_ATP,AXL,JNK1,SGK3,H-CL_F%,cLogP_LogP,cPSA_PSA (A2),AKT1,AURKB,BRAF,BTK,CAMK2D,CHEK1,CHEK2,CLK3,DDR2,DYRK2,EGFR,EPHA2,EPHB4,ERBB4,FAK,GSK3B,HIPK3,ABCK,IGF1R,IKKA,IKKB,JAK1,JAK2,KIT,LOK,LRRK2,MAP3K8,MAP4K2,MAPKAPK2,MINK,MSSK1,NLK,PAK1,PAK4,PHKG2,PIM1,PIM2,PKCD,PRKD1,RET,ROCK1,RPS6KB1,RSK2,SGK1,SRC,STK4,SYK,TGFBR1,TIE2,ZAP70,Mol Block
IDNUMx3186,OVECHORKIN,OV,6250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,391.475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CN(Cc1cccc2c1[nH]nc2)C[C@@H]1CCCN([C@H]1c1cnn(c1)C)C
IDNUMx3187,OVECHORKIN,OV,6250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,405.502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cc1noc(n1)[C@@H]1CC[C@@H](O1)CNCc1cccc2c1[nH]nc2
IDNUMx3190,OVECHORKIN,OV,6250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,1,419.485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,O=C([C@H]1CCN1C(=O)OC(C)(C)C)NCCc1ccc2c(c1)cn[nH]2
IDNUMx3192,OVECHORKIN,OV,6250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,1,419.485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cc1oc(c(n1)C(=O)NCCc1ccc2c(c1)cn[nH]2)C
IDNUMx3194,OVECHORKIN,OV,6250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,1,407.474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,O=C(c1cccc2c1[nH]nc2)N1CCCC(C1)(O)Cc1nncn1C
IDNUMx3195,OVECHORKIN,OV,6250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,0,1,420.517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,O=C(c1cccc2c1cn[nH]2)N1CCCC(C1)(O)Cc1nncn1C
IDNUMx3196,OVECHORKIN,OV,6250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,413.428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,O=C(N1CCCC(C1)(O)Cc1nncn1C)Cc1n[nH]c2c1cccc2
IDNUMx3198,OVECHORKIN,OV,6250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,1,445.567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,O=C(N([C@H]1COC[C@H]1Oc1cnn(c1)C)C)Cc1n[nH]c2c1cccc2
IDNUMx3199,OVECHORKIN,OV,6250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,389.459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cn1ncc(c1)O[C@@H]1COC[C@@H]1N(C(=O)c1n[nH]c2c1cccc2)C
IDNUMx3200,OVECHORKIN,OV,6250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,443.511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CO[C@@H]1CN(C[C@H]1c1nnn(c1)C)Cc1ccc2c(c1)[nH]nc2
